timestamp,GMXXX_NO2 (ppm),GMXXX_Ethanol (ppm),GMXXX_VOC (ppm),GMXXX_CO (ppm),MiCS5524_CO (ppm),MiCS5524_Ethanol (ppm),MiCS5524_VOC (ppm),label
1764584988630,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_2
1764584988934,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_2
1764584989187,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_2
1764584989439,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_2
1764584989690,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_2
1764584989943,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_2
1764584990195,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_2
1764584990548,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_2
1764584990749,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_2
1764584991203,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_2
1764584991707,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_2
1764584991959,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_2
1764584992210,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_2
1764584992462,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_2
1764584992714,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_2
1764584992966,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_2
1764584993368,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_2
1764584993621,0.000000,0.000000,0.000000,0.000000,1.682000,0.972000,0.453000,level_1_state_2
1764584993873,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_2
1764584994378,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_2
1764584994630,0.000000,0.000000,0.000000,0.000000,1.301000,0.694000,0.338000,level_1_state_2
1764584994882,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_2
1764584995134,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_2
1764584995386,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_2
1764584995688,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_1
1764584995890,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_1
1764584996192,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764584996646,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_1
1764584997201,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764584997454,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764584997706,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764584997957,0.000000,0.000000,0.000000,0.000000,1.301000,0.694000,0.338000,level_1_state_1
1764584998713,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764584999722,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585000730,0.000000,0.000000,0.000000,0.000000,1.604000,0.914000,0.429000,level_1_state_1
1764585001235,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764585003002,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585004009,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585004512,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585005015,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764585005519,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764585005771,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_1
1764585006024,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585006276,0.000000,0.000000,0.000000,0.000000,1.227000,0.643000,0.317000,level_1_state_1
1764585006528,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585006780,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585007032,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_1
1764585007284,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764585007537,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764585007789,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585008041,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585008446,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764585008547,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764585008850,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_1
1764585009354,0.000000,0.000000,0.000000,0.000000,1.604000,0.914000,0.429000,level_1_state_1
1764585009606,0.000000,0.000000,0.000000,0.000000,1.604000,0.914000,0.429000,level_1_state_1
1764585009807,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764585010058,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585010311,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585010562,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764585010813,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764585011064,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764585011316,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585012882,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764585013336,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585014144,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585015355,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585017118,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585017370,0.000000,0.000000,0.000000,0.000000,1.604000,0.914000,0.429000,level_1_state_1
1764585018127,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585018379,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585018882,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585019185,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585019437,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585019838,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764585020442,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585020542,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764585020793,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764585021095,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585021297,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585021851,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585022051,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585022303,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585022554,0.000000,0.000000,0.000000,0.000000,1.604000,0.914000,0.429000,level_1_state_1
1764585022856,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585023107,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585023411,0.000000,0.000000,0.000000,0.000000,1.682000,0.972000,0.453000,level_1_state_1
1764585023663,0.000000,0.000000,0.000000,0.000000,1.227000,0.643000,0.317000,level_1_state_1
1764585023916,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585024169,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585024472,0.000000,0.000000,0.000000,0.000000,1.604000,0.914000,0.429000,level_1_state_1
1764585024674,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585024927,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_1
1764585025180,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585025433,0.000000,0.000000,0.000000,0.000000,1.604000,0.914000,0.429000,level_1_state_1
1764585025686,0.000000,0.000000,0.000000,0.000000,1.227000,0.643000,0.317000,level_1_state_1
1764585025938,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_1
1764585026190,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585026443,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585026695,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585027199,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585027701,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585028204,0.000000,0.000000,0.000000,0.000000,1.604000,0.914000,0.429000,level_1_state_1
1764585028455,0.000000,0.000000,0.000000,0.000000,1.227000,0.643000,0.317000,level_1_state_1
1764585028707,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_1
1764585029716,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764585030019,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585030271,0.000000,0.000000,0.000000,0.000000,1.153000,0.593000,0.295000,level_1_state_1
1764585030524,0.000000,0.000000,0.000000,0.000000,1.527000,0.857000,0.406000,level_1_state_1
1764585031784,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585033294,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585033799,0.000000,0.000000,0.000000,0.000000,1.375000,0.747000,0.360000,level_1_state_1
1764585034303,0.000000,0.000000,0.000000,0.000000,1.451000,0.801000,0.383000,level_1_state_1
1764585034555,0.000000,0.000000,0.000000,0.000000,1.301000,0.694000,0.338000,level_1_state_1
