timestamp,GMXXX_NO2 (ppm),GMXXX_Ethanol (ppm),GMXXX_VOC (ppm),GMXXX_CO (ppm),MiCS5524_CO (ppm),MiCS5524_Ethanol (ppm),MiCS5524_VOC (ppm),label
1764588234876,0.670000,0.584000,0.063000,0.030000,1.462000,0.809000,0.386000,level_1_state_2
1764588234977,0.671000,0.585000,0.062000,0.030000,1.893000,1.134000,0.518000,level_1_state_2
1764588236237,0.672000,0.584000,0.062000,0.030000,1.358000,0.735000,0.355000,level_1_state_2
1764588237999,0.672000,0.585000,0.062000,0.030000,1.621000,0.926000,0.434000,level_1_state_2
1764588239054,0.672000,0.585000,0.062000,0.030000,1.621000,0.926000,0.434000,level_1_state_2
1764588239458,0.672000,0.584000,0.063000,0.030000,1.462000,0.809000,0.386000,level_1_state_2
1764588239761,0.673000,0.585000,0.063000,0.030000,1.515000,0.847000,0.402000,level_1_state_2
1764588240670,0.673000,0.585000,0.063000,0.030000,1.462000,0.809000,0.386000,level_1_state_2
1764588241124,0.672000,0.585000,0.062000,0.031000,1.674000,0.966000,0.451000,level_1_state_2
1764588241579,0.672000,0.585000,0.063000,0.030000,1.567000,0.886000,0.418000,level_1_state_2
1764588241982,0.673000,0.585000,0.062000,0.030000,1.515000,0.847000,0.402000,level_1_state_2
1764588242788,0.672000,0.585000,0.063000,0.031000,1.515000,0.847000,0.402000,level_1_state_2
1764588243293,0.672000,0.585000,0.063000,0.030000,1.674000,0.966000,0.451000,level_1_state_2
1764588243394,0.673000,0.585000,0.063000,0.031000,1.567000,0.886000,0.418000,level_1_state_2
1764588243898,0.673000,0.585000,0.063000,0.030000,1.674000,0.966000,0.451000,level_1_state_2
1764588244454,0.673000,0.585000,0.063000,0.030000,1.567000,0.886000,0.418000,level_1_state_2
1764588245461,0.673000,0.585000,0.063000,0.030000,1.621000,0.926000,0.434000,level_1_state_2
1764588245763,0.672000,0.584000,0.063000,0.030000,1.567000,0.886000,0.418000,level_1_state_2
1764588246266,0.673000,0.585000,0.063000,0.030000,1.567000,0.886000,0.418000,level_1_state_2
1764588246367,0.673000,0.584000,0.063000,0.030000,1.674000,0.966000,0.451000,level_1_state_2
1764588246620,0.673000,0.584000,0.063000,0.030000,1.674000,0.966000,0.451000,level_1_state_2
1764588246871,0.673000,0.585000,0.062000,0.030000,1.515000,0.847000,0.402000,level_1_state_2
1764588247829,0.672000,0.000000,0.062000,0.029000,1.621000,0.926000,0.434000,level_1_state_2
1764588247929,0.673000,0.585000,0.063000,0.029000,1.674000,0.966000,0.451000,level_1_state_2
1764588249898,0.673000,0.585000,0.062000,0.030000,1.462000,0.809000,0.386000,level_1_state_2
1764588250150,0.673000,0.585000,0.062000,0.030000,1.567000,0.886000,0.418000,level_1_state_2
1764588250704,0.673000,0.586000,0.062000,0.031000,1.621000,0.926000,0.434000,level_1_state_2
1764588251410,0.674000,0.585000,0.062000,0.030000,1.567000,0.886000,0.418000,level_1_state_2
