timestamp,GMXXX_NO2 (ppm),GMXXX_Ethanol (ppm),GMXXX_VOC (ppm),GMXXX_CO (ppm),MiCS5524_CO (ppm),MiCS5524_Ethanol (ppm),MiCS5524_VOC (ppm),label
1764586966368,0.717000,0.618000,0.106000,0.033000,3.978000,2.996000,1.201000,level_1_state_2
1764586966721,0.717000,0.617000,0.106000,0.034000,3.706000,2.730000,1.109000,level_1_state_2
1764586967125,0.718000,0.618000,0.105000,0.033000,3.887000,2.906000,1.170000,level_1_state_2
1764586967530,0.717000,0.618000,0.106000,0.034000,3.796000,2.818000,1.139000,level_1_state_2
1764586967935,0.717000,0.618000,0.106000,0.033000,3.796000,2.818000,1.139000,level_1_state_2
1764586968845,0.718000,0.618000,0.105000,0.033000,3.706000,2.730000,1.109000,level_1_state_2
1764586969149,0.717000,0.618000,0.105000,0.033000,3.438000,2.476000,1.018000,level_1_state_2
1764586969199,0.717000,0.618000,0.106000,0.033000,3.706000,2.730000,1.109000,level_1_state_2
1764586969752,0.717000,0.618000,0.105000,0.033000,3.887000,2.906000,1.170000,level_1_state_2
1764586970155,0.717000,0.618000,0.105000,0.032000,3.796000,2.818000,1.139000,level_1_state_2
1764586970407,0.717000,0.617000,0.104000,0.032000,3.796000,2.818000,1.139000,level_1_state_2
1764586970860,0.717000,0.618000,0.104000,0.032000,3.706000,2.730000,1.109000,level_1_state_2
1764586971313,0.716000,0.618000,0.104000,0.033000,3.527000,2.559000,1.048000,level_1_state_2
1764586971414,0.717000,0.618000,0.104000,0.033000,3.887000,2.906000,1.170000,level_1_state_2
1764586971819,0.717000,0.619000,0.104000,0.032000,3.887000,2.906000,1.170000,level_1_state_2
1764586972122,0.717000,0.618000,0.104000,0.032000,3.527000,2.559000,1.048000,level_1_state_2
1764586972325,0.716000,0.617000,0.000000,0.032000,3.262000,2.311000,0.959000,level_1_state_2
1764586972628,0.717000,0.617000,0.104000,0.032000,3.262000,2.311000,0.959000,level_1_state_2
1764586972981,0.000000,0.618000,0.103000,0.032000,3.706000,2.730000,1.109000,level_1_state_2
1764586973385,0.717000,0.618000,0.104000,0.032000,3.706000,2.730000,1.109000,level_1_state_2
1764586974646,0.716000,0.618000,0.103000,0.032000,3.616000,2.644000,1.078000,level_1_state_2
1764586974798,0.717000,0.617000,0.102000,0.032000,3.616000,2.644000,1.078000,level_1_state_2
1764586975151,0.716000,0.618000,0.103000,0.032000,3.706000,2.730000,1.109000,level_1_state_2
1764586976160,0.717000,0.618000,0.102000,0.032000,3.796000,2.818000,1.139000,level_1_state_2
1764586976868,0.718000,0.617000,0.103000,0.032000,3.796000,2.818000,1.139000,level_1_state_2
1764586976918,0.717000,0.617000,0.103000,0.032000,3.887000,2.906000,1.170000,level_1_state_2
1764586977321,0.717000,0.618000,0.103000,0.032000,3.175000,2.231000,0.930000,level_1_state_2
1764586978077,0.717000,0.618000,0.103000,0.032000,3.796000,2.818000,1.139000,level_1_state_2
1764586978479,0.717000,0.618000,0.103000,0.032000,3.978000,2.996000,1.201000,level_1_state_2
1764586978681,0.717000,0.618000,0.103000,0.032000,3.706000,2.730000,1.109000,level_1_state_2
1764586979284,0.717000,0.617000,0.103000,0.032000,3.616000,2.644000,1.078000,level_1_state_2
1764586979687,0.718000,0.618000,0.103000,0.032000,3.350000,2.393000,0.989000,level_1_state_2
1764586980242,0.717000,0.617000,0.103000,0.033000,3.706000,2.730000,1.109000,level_1_state_2
1764586980594,0.717000,0.618000,0.103000,0.032000,3.796000,2.818000,1.139000,level_1_state_2
1764586980796,0.718000,0.618000,0.103000,0.032000,3.527000,2.559000,1.048000,level_1_state_2
1764586982357,0.717000,0.617000,0.103000,0.032000,3.706000,2.730000,1.109000,level_1_state_2
1764586982759,0.717000,0.618000,0.102000,0.032000,3.527000,2.559000,1.048000,level_1_state_2
1764586982860,0.717000,0.618000,0.102000,0.032000,3.706000,2.730000,1.109000,level_1_state_2
1764586983213,0.716000,0.618000,0.102000,0.031000,3.706000,2.730000,1.109000,level_1_state_2
1764586983365,0.718000,0.617000,0.102000,0.032000,3.350000,2.393000,0.989000,level_1_state_2
1764586983618,0.717000,0.618000,0.102000,0.032000,3.887000,2.906000,1.170000,level_1_state_2
1764586983971,0.717000,0.618000,0.102000,0.031000,3.262000,2.311000,0.959000,level_1_state_2
1764586984424,0.717000,0.618000,0.102000,0.032000,3.706000,2.730000,1.109000,level_1_state_2
1764586985434,0.717000,0.618000,0.101000,0.031000,3.887000,2.906000,1.170000,level_1_state_2
1764586985535,0.717000,0.617000,0.101000,0.031000,3.706000,2.730000,1.109000,level_1_state_2
1764586986040,0.717000,0.618000,0.101000,0.031000,3.616000,2.644000,1.078000,level_1_state_2
1764586986142,0.717000,0.617000,0.101000,0.031000,3.706000,2.730000,1.109000,level_1_state_2
1764586986394,0.717000,0.617000,0.100000,0.030000,3.706000,2.730000,1.109000,level_1_state_2
1764586987049,0.716000,0.617000,0.101000,0.031000,3.706000,2.730000,1.109000,level_1_state_2
1764586987404,0.717000,0.618000,0.100000,0.030000,3.796000,2.818000,1.139000,level_1_state_2
1764586987910,0.717000,0.617000,0.101000,0.031000,3.616000,2.644000,1.078000,level_1_state_2
1764586988316,0.717000,0.618000,0.100000,0.031000,3.706000,2.730000,1.109000,level_1_state_2
1764586988719,0.717000,0.618000,0.100000,0.030000,3.706000,2.730000,1.109000,level_1_state_2
1764586989626,0.717000,0.616000,0.100000,0.031000,3.527000,2.559000,1.048000,level_1_state_2
1764586989978,0.718000,0.617000,0.100000,0.030000,3.706000,2.730000,1.109000,level_1_state_2
1764586990430,0.717000,0.617000,0.100000,0.031000,3.438000,2.476000,1.018000,level_1_state_2
1764586990834,0.718000,0.618000,0.099000,0.031000,3.887000,2.906000,1.170000,level_1_state_2
1764586991288,0.717000,0.617000,0.100000,0.031000,3.887000,2.906000,1.170000,level_1_state_2
1764586991691,0.717000,0.617000,0.099000,0.031000,3.706000,2.730000,1.109000,level_1_state_2
1764586991793,0.717000,0.617000,0.100000,0.031000,3.616000,2.644000,1.078000,level_1_state_2
1764586992500,0.717000,0.617000,0.099000,0.031000,3.616000,2.644000,1.078000,level_1_state_2
1764586993357,0.717000,0.617000,0.100000,0.031000,3.796000,2.818000,1.139000,level_1_state_2
1764586993760,0.717000,0.618000,0.100000,0.031000,3.796000,2.818000,1.139000,level_1_state_2
1764586994113,0.717000,0.617000,0.100000,0.031000,3.616000,2.644000,1.078000,level_1_state_2
1764586994315,0.717000,0.617000,0.100000,0.031000,3.796000,2.818000,1.139000,level_1_state_2
1764586994972,0.717000,0.617000,0.100000,0.031000,3.616000,2.644000,1.078000,level_1_state_2
1764586995074,0.717000,0.617000,0.100000,0.031000,3.978000,2.996000,1.201000,level_1_state_2
1764586995477,0.717000,0.617000,0.100000,0.032000,3.887000,2.906000,1.170000,level_1_state_2
1764586996182,0.717000,0.617000,0.100000,0.032000,3.706000,2.730000,1.109000,level_1_state_2
1764586996232,0.717000,0.617000,0.100000,0.032000,3.796000,2.818000,1.139000,level_1_state_2
1764586997139,0.717000,0.617000,0.100000,0.032000,3.706000,2.730000,1.109000,level_1_state_2
1764586997593,0.717000,0.618000,0.100000,0.031000,4.162000,3.178000,1.264000,level_1_state_2
1764586998300,0.717000,0.617000,0.101000,0.032000,3.978000,2.996000,1.201000,level_1_state_1
1764586998704,0.717000,0.617000,0.100000,0.032000,3.887000,2.906000,1.170000,level_1_state_1
1764586998957,0.717000,0.617000,0.101000,0.032000,3.887000,2.906000,1.170000,level_1_state_1
1764586999360,0.717000,0.617000,0.100000,0.032000,3.706000,2.730000,1.109000,level_1_state_1
1764586999764,0.721000,0.618000,0.101000,0.032000,3.796000,2.818000,1.139000,level_1_state_1
