timestamp,GMXXX_NO2 (ppm),GMXXX_Ethanol (ppm),GMXXX_VOC (ppm),GMXXX_CO (ppm),MiCS5524_CO (ppm),MiCS5524_Ethanol (ppm),MiCS5524_VOC (ppm),label
1764580572932,0.736000,0.762000,0.126000,0.017000,1.259000,0.666000,0.326000,idle
1764580573184,0.736000,0.759000,0.125000,0.017000,1.032000,0.513000,0.260000,idle
1764580573994,0.736000,0.760000,0.125000,0.017000,1.051000,0.525000,0.266000,idle
1764580573994,0.733000,0.761000,0.125000,0.017000,1.032000,0.513000,0.260000,idle
1764580574246,0.736000,0.761000,0.125000,0.017000,1.032000,0.513000,0.260000,idle
1764580575180,0.737000,0.761000,0.125000,0.018000,1.032000,0.513000,0.260000,idle
1764580575280,0.737000,0.762000,0.126000,0.017000,1.069000,0.537000,0.271000,idle
1764580575483,0.736000,0.760000,0.125000,0.017000,1.032000,0.513000,0.260000,idle
1764580576056,0.734000,0.761000,0.125000,0.017000,1.032000,0.513000,0.260000,idle
1764580576308,0.736000,0.761000,0.125000,0.017000,1.032000,0.513000,0.260000,idle
1764580576764,0.734000,0.760000,0.126000,0.017000,1.014000,0.501000,0.255000,idle
1764580576815,0.736000,0.761000,0.125000,0.017000,1.032000,0.513000,0.260000,idle
1764580577118,0.736000,0.761000,0.125000,0.017000,1.014000,0.501000,0.255000,idle
1764580577773,0.734000,0.761000,0.125000,0.017000,1.032000,0.513000,0.260000,idle
1764580577974,0.736000,0.759000,0.125000,0.017000,1.069000,0.537000,0.271000,idle
1764580578074,0.736000,0.761000,0.125000,0.017000,1.032000,0.513000,0.260000,idle
1764580578428,0.736000,0.759000,0.125000,0.017000,1.032000,0.513000,0.260000,idle
1764580578679,0.736000,0.761000,0.125000,0.017000,1.032000,0.513000,0.260000,idle
1764580578931,0.736000,0.761000,0.125000,0.017000,1.014000,0.501000,0.255000,idle
1764580579334,0.736000,0.761000,0.125000,0.017000,1.014000,0.501000,0.255000,idle
1764580579434,0.733000,0.760000,0.124000,0.017000,1.032000,0.513000,0.260000,idle
1764580579689,0.736000,0.760000,0.125000,0.017000,1.014000,0.501000,0.255000,idle
1764580580092,0.736000,0.760000,0.125000,0.017000,1.014000,0.501000,0.255000,idle
1764580580343,0.733000,0.761000,0.125000,0.017000,1.014000,0.501000,0.255000,idle
1764580580596,0.734000,0.760000,0.125000,0.017000,0.996000,0.490000,0.250000,idle
1764580580949,0.736000,0.761000,0.125000,0.018000,1.014000,0.501000,0.255000,idle
1764580581402,0.736000,0.759000,0.125000,0.017000,1.014000,0.501000,0.255000,idle
1764580581856,0.734000,0.759000,0.125000,0.017000,1.014000,0.501000,0.255000,idle
1764580582158,0.733000,0.761000,0.125000,0.017000,1.014000,0.501000,0.255000,idle
1764580582663,0.734000,0.759000,0.125000,0.017000,1.014000,0.501000,0.255000,idle
1764580583370,0.734000,0.760000,0.125000,0.017000,0.996000,0.490000,0.250000,idle
1764580583621,0.733000,0.760000,0.124000,0.017000,1.032000,0.513000,0.260000,idle
1764580583722,0.736000,0.761000,0.125000,0.018000,1.032000,0.513000,0.260000,idle
1764580583975,0.734000,0.758000,0.125000,0.018000,1.014000,0.501000,0.255000,idle
1764580584628,0.736000,0.759000,0.125000,0.017000,0.996000,0.490000,0.250000,idle
1764580584729,0.734000,0.759000,0.125000,0.017000,1.032000,0.513000,0.260000,idle
1764580585283,0.733000,0.759000,0.125000,0.017000,0.996000,0.490000,0.250000,idle
1764580585536,0.734000,0.760000,0.125000,0.017000,1.014000,0.501000,0.255000,idle
1764580586090,0.733000,0.759000,0.125000,0.017000,1.014000,0.501000,0.255000,idle
1764580586393,0.734000,0.760000,0.125000,0.018000,1.014000,0.501000,0.255000,idle
1764580586444,0.734000,0.760000,0.125000,0.017000,1.051000,0.525000,0.266000,idle
1764580586746,0.736000,0.761000,0.125000,0.017000,1.014000,0.501000,0.255000,idle
1764580587048,0.734000,0.760000,0.124000,0.017000,0.996000,0.490000,0.250000,idle
